100001878,1.0,4.0,1.0,
100011562,0.0,2.0,0.0,
100012968,8.0,12.0,5.0,
100014060,2.0,11.0,2.0,
100024529,1.0,4.0,1.0,
100027681,12.0,24.0,7.0,
100035725,0.0,10.0,0.0,
100039408,0.0,2.0,0.0,
100042340,0.0,14.0,0.0,
10004287,0.0,4.0,0.0,
100067745,1.0,2.0,1.0,
100078685,4.0,18.0,3.0,
100086267,0.0,16.0,0.0,
100090063,0.0,2.0,0.0,
100097997,0.0,1.0,0.0,
100109755,0.0,11.0,0.0,
100111500,0.0,1.0,0.0,
100112744,0.0,2.0,0.0,
100121842,9.0,9.0,1.0,
100127501,0.0,1.0,0.0,
100128093,0.0,5.0,0.0,
100154665,1.0,12.0,1.0,
100159569,1.0,9.0,1.0,
100185291,3.0,13.0,1.0,
100192152,0.0,3.0,0.0,
10020755,0.0,14.0,0.0,
100211157,0.0,9.0,0.0,
100230080,2.0,21.0,2.0,
100231383,2.0,8.0,1.0,
100234220,0.0,4.0,0.0,
10026124,0.0,26.0,0.0,
100267644,6.0,11.0,3.0,
10027039,0.0,4.0,0.0,
100273837,4.0,4.0,1.0,
100279459,2.0,5.0,2.0,
100288957,1.0,11.0,1.0,
100310156,0.0,6.0,0.0,
10031393,0.0,2.0,0.0,
100326985,3.0,25.0,3.0,
100341858,0.0,8.0,0.0,
100354400,0.0,5.0,0.0,
100366139,1.0,4.0,1.0,
100385360,3.0,1.0,1.0,
100397503,3.0,7.0,2.0,
100415080,0.0,2.0,0.0,
10045419,0.0,5.0,0.0,
100459462,3.0,8.0,1.0,
100462790,0.0,1.0,0.0,
100497308,0.0,7.0,0.0,
100509623,15.0,24.0,5.0,
100517846,2.0,10.0,1.0,
100522480,1.0,2.0,1.0,
100530696,0.0,8.0,0.0,
100539,0.0,1.0,0.0,
100559064,1.0,1.0,1.0,
100570607,1.0,6.0,1.0,
100605176,4.0,5.0,2.0,
100617828,1.0,8.0,1.0,
100625191,4.0,5.0,3.0,
100628422,1.0,7.0,1.0,
100633536,0.0,7.0,0.0,
100637858,0.0,5.0,0.0,
10064430,0.0,1.0,0.0,
100644641,2.0,4.0,1.0,
100650188,1.0,5.0,1.0,
100674178,1.0,2.0,1.0,
10068052,0.0,3.0,0.0,
100684618,4.0,15.0,3.0,
100690180,6.0,8.0,1.0,
100692079,0.0,11.0,0.0,
100701928,0.0,2.0,0.0,
100737108,1.0,7.0,1.0,
100742887,0.0,3.0,0.0,
100745953,0.0,2.0,0.0,
10075065,0.0,3.0,0.0,
